101.79.15.198:80,http,0.324449
1.202.21.228:3128,http,0.384361
103.167.134.31:80,http,0.369175
104.131.19.48:3128,http,0.086168
103.82.227.22:3128,http,0.465015
101.132.25.152:5000,socks5,5.555044
101.200.235.69:59394,socks5,5.666253
101.200.187.233:3333,socks5,5.669936
101.200.235.69:8118,socks5,5.670496
101.200.235.69:808,socks5,5.673206
101.200.235.69:8085,socks5,5.680473
101.200.187.233:8499,socks5,5.686998
112.120.179.21:80,http,0.402015
117.160.250.138:80,http,0.782558
117.160.250.133:80,http,1.200999
112.124.2.212:1234,socks5,5.569703
112.124.2.212:30001,socks5,5.564307
112.124.2.212:87,socks5,5.656249
115.29.151.41:45554,socks5,5.644477
115.29.151.41:1080,socks5,5.653585
115.29.151.41:20002,socks5,5.653381
115.29.149.2:5566,socks5,5.661189
115.29.148.215:45554,socks5,5.664261
115.29.151.41:443,socks5,5.647511
115.29.148.215:3333,socks5,5.688333
115.29.151.41:8020,socks5,5.716517
116.63.128.247:10001,socks5,5.629657
116.63.128.247:8499,socks5,5.675384
116.63.128.247:808,socks5,5.677109
116.63.130.30:10000,socks5,5.680407
116.63.130.30:999,socks5,5.673776
122.116.150.2:9000,http,0.317447
110.78.147.6:80,http,0.484536
117.74.65.207:10001,socks5,5.659904
117.74.65.207:1023,socks5,5.661667
117.74.65.207:10250,socks5,5.658565
117.74.65.207:10000,socks5,5.693839
117.74.65.207:11,socks5,5.690451
117.74.65.207:1080,socks5,5.670685
117.74.65.207:1311,socks5,5.664039
117.74.65.207:111,socks5,5.675359
117.74.65.207:10443,socks5,5.720383
117.74.65.207:1883,socks5,5.679186
117.74.65.207:1337,socks5,5.693321
117.74.65.207:2095,socks5,5.668253
117.74.65.207:2375,socks5,5.688019
117.74.65.207:20000,socks5,5.713294
117.74.65.207:31653,socks5,5.68108
117.74.65.207:35904,socks5,5.673599
117.74.65.207:30001,socks5,5.696082
117.74.65.207:4000,socks5,5.675562
117.74.65.207:264,socks5,5.70399
